"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"08","013","0012","68108","1","40.021097","-105.263382","WGS84","Sample Baro Pressure","24 HOUR","2014-01-11","2014","11","Millimeters (mercury)","None",".","1","100.0000",".","622",".","622.00000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68109","1","40.021097","-105.263382","WGS84","Elapsed Sample Time","24 HOUR","2014-01-11","2014","11","Minutes","None",".","1","100.0000",".","1440",".","1440.00000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","81102","1","40.021097","-105.263382","WGS84","PM10 Total 0-10um STP","24 HOUR","2014-01-11","2014","11","Micrograms/cubic meter (25 C)","None",".","1","100.0000",".","6",".","6.00000","0","6.00","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","85101","1","40.021097","-105.263382","WGS84","PM10 - LC","24 HOUR","2014-01-11","2014","11","Micrograms/cubic meter (LC)","None",".","1","100.0000",".","5",".","5.00000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","88101","1","40.021097","-105.263382","WGS84","PM2.5 - Local Conditions","24 HOUR","2014-01-11","2014","11","Micrograms/cubic meter (LC)","None",".","1","100.0000",".","1.1",".","1.10000","0","5.00","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68101","1","40.021097","-105.263382","WGS84","Sample Flow Rate- CV","24 HOUR","2014-01-14","2014","14","Percent","None",".","1","100.0000",".","0.4",".","0.40000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68102","1","40.021097","-105.263382","WGS84","Sample Volume","24 HOUR","2014-01-14","2014","14","Cubic meter","None",".","1","100.0000",".","24",".","24.00000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68105","1","40.021097","-105.263382","WGS84","Ambient Temperature","24 HOUR","2014-01-14","2014","14","Degrees Centigrade","None",".","1","100.0000",".","-0.1",".","-0.10000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68108","1","40.021097","-105.263382","WGS84","Sample Baro Pressure","24 HOUR","2014-01-14","2014","14","Millimeters (mercury)","None",".","1","100.0000",".","633",".","633.00000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68109","1","40.021097","-105.263382","WGS84","Elapsed Sample Time","24 HOUR","2014-01-14","2014","14","Minutes","None",".","1","100.0000",".","1440",".","1440.00000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","88101","1","40.021097","-105.263382","WGS84","PM2.5 - Local Conditions","24 HOUR","2014-01-14","2014","14","Micrograms/cubic meter (LC)","None",".","1","100.0000",".","5.3",".","5.30000","0","22.00","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68101","1","40.021097","-105.263382","WGS84","Sample Flow Rate- CV","24 HOUR","2014-01-17","2014","17","Percent","None",".","1","100.0000",".","0.4",".","0.40000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68102","1","40.021097","-105.263382","WGS84","Sample Volume","24 HOUR","2014-01-17","2014","17","Cubic meter","None",".","1","100.0000",".","24",".","24.00000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68105","1","40.021097","-105.263382","WGS84","Ambient Temperature","24 HOUR","2014-01-17","2014","17","Degrees Centigrade","None",".","1","100.0000",".","3.6",".","3.60000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68108","1","40.021097","-105.263382","WGS84","Sample Baro Pressure","24 HOUR","2014-01-17","2014","17","Millimeters (mercury)","None",".","1","100.0000",".","629",".","629.00000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68109","1","40.021097","-105.263382","WGS84","Elapsed Sample Time","24 HOUR","2014-01-17","2014","17","Minutes","None",".","1","100.0000",".","1440",".","1440.00000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
